Question Label,Concept UUID,Answer Label,Source Form,Concept Type
Name of Report,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Name of Report,adverse-drug-reaction-form.json,Main Question Concept
The Report is on:,61d86c79-ad0e-4a97-8fb7-e8ef43bac49b,The Report is on:,adverse-drug-reaction-form.json,Main Question Concept
The Report is on:,162559AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Suspected adverse drug reaction,adverse-drug-reaction-form.json,Answer Option
The Report is on:,162562AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Therapeutic ineffectiveness,adverse-drug-reaction-form.json,Answer Option
Report type:,163331AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Report type:,adverse-drug-reaction-form.json,Main Question Concept
Report type:,162979AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Initial Report,adverse-drug-reaction-form.json,Answer Option
Report type:,162981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Follow Up Report,adverse-drug-reaction-form.json,Answer Option
Product category (Tick appropriate box),6d24eb6e-b42f-4706-ab2d-ae4472161f6a,Product category (Tick appropriate box),adverse-drug-reaction-form.json,Main Question Concept
Product category (Tick appropriate box),161189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Medicinal product,adverse-drug-reaction-form.json,Answer Option
Product category (Tick appropriate box),129746AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Blood and blood products,adverse-drug-reaction-form.json,Answer Option
Product category (Tick appropriate box),5841AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Herbal product,adverse-drug-reaction-form.json,Answer Option
Product category (Tick appropriate box),72303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cosmeceuticals,adverse-drug-reaction-form.json,Answer Option
Product category (Tick appropriate box),5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Others,adverse-drug-reaction-form.json,Answer Option
Other (Specify),3bb426dc-7f5c-43f2-952e-8d15ab16e6a4,Other (Specify),adverse-drug-reaction-form.json,Main Question Concept
Patient pregnant?,5272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Patient pregnant?,adverse-drug-reaction-form.json,Main Question Concept
Patient pregnant?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,adverse-drug-reaction-form.json,Answer Option
Patient pregnant?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,adverse-drug-reaction-form.json,Answer Option
Pregnancy Trimester,160665AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pregnancy Trimester,adverse-drug-reaction-form.json,Main Question Concept
Pregnancy Trimester,1721AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1st Trimester,adverse-drug-reaction-form.json,Answer Option
Pregnancy Trimester,1722AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2nd Trimester,adverse-drug-reaction-form.json,Answer Option
Pregnancy Trimester,1723AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,3rd Trimester,adverse-drug-reaction-form.json,Answer Option
Patient has adverse drug reaction(s),121760AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Patient has adverse drug reaction(s),adverse-drug-reaction-form.json,Main Question Concept
Did the reaction resolve after the drug was stopped or when the dose was reduced?,6097AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Did the reaction resolve after the drug was stopped or when the dose was reduced?,adverse-drug-reaction-form.json,Main Question Concept
Did the reaction resolve after the drug was stopped or when the dose was reduced?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,adverse-drug-reaction-form.json,Answer Option
Did the reaction resolve after the drug was stopped or when the dose was reduced?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,adverse-drug-reaction-form.json,Answer Option
Did the reaction resolve after the drug was stopped or when the dose was reduced?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,adverse-drug-reaction-form.json,Answer Option
Did the reaction resolve after the drug was stopped or when the dose was reduced?,1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Not Applicable,adverse-drug-reaction-form.json,Answer Option
Did the reaction reappear after the drug was reintroduced?,159924AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Did the reaction reappear after the drug was reintroduced?,adverse-drug-reaction-form.json,Main Question Concept
Did the reaction reappear after the drug was reintroduced?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,adverse-drug-reaction-form.json,Answer Option
Did the reaction reappear after the drug was reintroduced?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,adverse-drug-reaction-form.json,Answer Option
Did the reaction reappear after the drug was reintroduced?,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,adverse-drug-reaction-form.json,Answer Option
Did the reaction reappear after the drug was reintroduced?,1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Not Applicable,adverse-drug-reaction-form.json,Answer Option
Any Investigations ordered?,0179f241-8c1d-47c1-8128-841f6508e251,Any Investigations ordered?,adverse-drug-reaction-form.json,Main Question Concept
Any Investigations ordered?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,adverse-drug-reaction-form.json,Answer Option
Any Investigations ordered?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,adverse-drug-reaction-form.json,Answer Option
Is the reaction serious?,162867AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Is the reaction serious?,adverse-drug-reaction-form.json,Main Question Concept
Is the reaction serious?,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yes,adverse-drug-reaction-form.json,Answer Option
Is the reaction serious?,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,No,adverse-drug-reaction-form.json,Answer Option
Criteria/reason for seriousness,ff5188f3-098b-40e9-be37-f248a41160d0,Criteria/reason for seriousness,adverse-drug-reaction-form.json,Main Question Concept
Criteria/reason for seriousness,5485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hospitalization/Prolonged Hospitalization,adverse-drug-reaction-form.json,Answer Option
Criteria/reason for seriousness,162558AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Disability,adverse-drug-reaction-form.json,Answer Option
Criteria/reason for seriousness,119975AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Congenital anomality,adverse-drug-reaction-form.json,Answer Option
Criteria/reason for seriousness,162693AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Life threatening,adverse-drug-reaction-form.json,Answer Option
Criteria/reason for seriousness,9c348c8c-e033-4fc0-ab2a-7e6702b68739,Death,adverse-drug-reaction-form.json,Answer Option
Outcome,163105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Outcome,adverse-drug-reaction-form.json,Main Question Concept
Outcome,159791AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recovered,adverse-drug-reaction-form.json,Answer Option
Outcome,162873AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recovered with sequelae,adverse-drug-reaction-form.json,Answer Option
Outcome,162677AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recovering,adverse-drug-reaction-form.json,Answer Option
Outcome,164381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Not recovered,adverse-drug-reaction-form.json,Answer Option
Outcome,9c348c8c-e033-4fc0-ab2a-7e6702b68739,Death,adverse-drug-reaction-form.json,Answer Option
Outcome,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,adverse-drug-reaction-form.json,Answer Option
Any other comments,160430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Any other comments,adverse-drug-reaction-form.json,Main Question Concept
Name of Initial Reporter,164141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Name of Initial Reporter,adverse-drug-reaction-form.json,Main Question Concept
Cadre/Designation,166014AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cadre/Designation,adverse-drug-reaction-form.json,Main Question Concept
Cadre/Designation,162592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CO,adverse-drug-reaction-form.json,Answer Option
Cadre/Designation,162591AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MO,adverse-drug-reaction-form.json,Answer Option
